"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19856","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","41829","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","0","tearDown","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","tearDown"
"","38014","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","16333","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","16291","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","38994","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","24508","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","67120","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","11591","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","15566","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","26325","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","38267","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","23450","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","33216","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","15177","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","38328","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","124144","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","13900","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","45451","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","15480","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","44354","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","11170","testRegister","Default Suite","2026-02-20","passed","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","14610","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
"","30026","testRegister","Default Suite","2026-02-20","broken","2026-02-20","auto01.uitests2.AddMultiEmployeeTest2","PlayDiInjectv3","auto01.uitests2.AddMultiEmployeeTest2","testRegister"
